id,brand,price,currency,color,features,condition,condition_description,seller_note,gpu,processor,processor_speed,processor_speed_unit,type,width_of_the_display,height_of_the_display,os,storage_type,hard_drive_capacity,hard_drive_capacity_unit,ssd_capacity,ssd_capacity_unit,screen_size_inch_,ram_size,ram_size_unit
30,dell,345.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","the item shows minimal wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. the item includes original or new accessories and will come in new generic packaging. see the seller's listing for full details.",intel,intel core i5 7th generation,3.10,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.6,16.0,gb
31,other,242.0,$,gray,"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,quad core,o3.4,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.6,16.0,gb
35,other,150.0,$,gray,"Bluetooth, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel celeron n4100,o2.8,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,14.1,8.0,gb
38,dell,219.0,$,black,"Backlit Keyboard, Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,i7-7820hq,o3.9,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.61,16.0,gb
40,other,269.5,$,gray,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel celeron n5100,2.80,GHz,notebook/laptop,2256.0,1504.0,windows,ssd,12.0,gb,512.0,gb,13.5,12.0,gb
42,dell,489.0,$,black,"Bluetooth, Wi-Fi, MaxxAudio Pro, Media Card Reader, Wi-Fi 5, USB-C 3.2",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,amd,amd ryzen 5,o4.5,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.6,16.0,gb
45,hp,29.98,$,multicolor,Wi-Fi,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel celeron,2.16,GHz,notebook/laptop,1366.0,768.0,chrome,ssd,16.0,gb,16.0,gb,14,16.0,gb
50,hp,70.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","mint condition, like new! hp chromebook 11 g5 in stellar condition. our certified technicians have meticulously inspected this unit to guarantee 100% functionality. exhibits minimal signs of handling, with a flawless screen and keyboard. prepped with a factory reset, this chromebook is primed to delight right from the package.",intel,intel celeron n,1.6,GHz,other,1366.0,768.0,chrome,emmc,16.0,gb,16.0,gb,11.6,4.0,gb
51,hp,49.0,$,gray,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,amd a4 dual-core,1.60,GHz,notebook/laptop,1366.0,768.0,chrome,emmc,16.0,gb,16.0,gb,11.6,4.0,gb
52,dell,130.0,$,black,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i7 6th generation,2.60,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,12.5,8.0,gb
54,lenovo,81.0,$,black,"Touchscreen, Bluetooth, Built-in Microphone, Built-in Webcam",Undefined,Undefined,undefined,other,intel core i5 2nd generation,2.50,GHz,notebook/laptop,1366.0,768.0,windows,hdd/ssd,320.0,gb,120.0,gb,12.5,4.0,gb
58,dell,105.0,$,black,"10/100 LAN Card,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good used condition. some minor scratches and scuffs from normal wear and tear.,other,intel core i5 6th generation,2.60,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,14,8.0,gb
59,dell,39.94,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","used in good working condition. may have some scratches, scuffs, and general signs of use.",other,intel celeron,1.60,GHz,notebook/laptop,1366.0,768.0,chrome,emmc,16.0,gb,16.0,gb,13.3,4.0,gb
60,lenovo,90.0,$,black,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i3-6100u,2.30,GHz,other,1366.0,768.0,windows,ssd,128.0,gb,128.0,gb,11.6,8.0,gb
61,lenovo,599.0,$,grey,"5G,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  Dual Speakers",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5-1135g7,4.20,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,1.0,tb,1.0,tb,15.6,20.0,gb
66,hp,290.0,$,silver,Wi-Fi,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,intel,intel core i5 8th generation,2.60,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,500.0,gb,500.0,gb,14,32.0,gb
70,dell,200.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",great used shape has scratches scuffs and normal wear from use,intel,intel core i5 6th generation,2.40,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,14,8.0,gb
72,other,225.0,$,silver,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,amd,intel celeron,2.80,GHz,notebook/laptop,1920.0,1200.0,windows,ssd,12.0,gb,512.0,gb,15.6,12.0,gb
74,dell,229.0,$,gray,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good working 10th gen laptop - really nice cosmetic condition - wear marks from normal use. ac adapter (power cord) is included!,intel,intel core i5 10th generation,1.70,GHz,notebook/laptop,1920.0,1080.0,unknown,ssd,512.0,gb,512.0,gb,14,16.0,gb
76,lenovo,180.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Webcam, Multi-Touch Trackpad",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i7 6th generation,2.60,GHz,notebook/laptop,2560.0,1440.0,windows,ssd,512.0,gb,512.0,gb,14.1.,16.0,gb
83,asus,293.0,$,gray,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",Undefined,Undefined,undefined,intel,intel core i3 11th generation,1.80,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,15.6,8.0,gb
85,hp,259.0,$,silver,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",tested/working. touch screen/tablet. windows 10 pro. power adapter included.,intel,intel core i7 4th generation,2.10,GHz,notebook/laptop,1366.0,768.0,windows,ssd,256.0,gb,256.0,gb,11.6,8.0,gb
87,acer,41.0,$,gray,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","item is fully tested & functional item may contain some small scuff the screen may have some minor scuff or hairline scratches but is working . may have sunspots. item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. the items has been fully cleaned and is in ok physical condition. the charger is tested and included and may show sign of use",intel,intel celeron n,2.48,GHz,notebook/laptop,1366.0,768.0,chrome,emmc,32.0,gb,32.0,gb,11.6,4.0,gb
90,lenovo,170.0,$,gray,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Undefined,Undefined,undefined,intel,intel celeron n,1.10,GHz,notebook/laptop,1366.0,768.0,windows,emmc,128.0,gb,128.0,gb,14,4.0,gb
92,hp,44.75,$,gray,"Bluetooth, Built-in Webcam, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel celeron n,1.10,GHz,notebook/laptop,1366.0,768.0,chrome,ssd,32.0,gb,32.0,gb,11.6,4.0,gb
95,dell,220.0,$,other,Wi-Fi,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested one year warranty,intel,intel core i7 7th generation,2.60,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,500.0,gb,500.0,gb,12.5,16.0,gb
96,dell,260.0,$,other,Wi-Fi,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,other,intel core i7 8th generation,1.90,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,13.3,16.0,gb
117,acer,90.0,$,silver,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Built-in Microphone",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel celeron n,1.1,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,128.0,gb,128.0,gb,14,4.0,gb
121,microsoft,200.0,$,silver,"Bluetooth, Wi-Fi, Built-in Webcam, Touchscreen, Backlit Keyboard",Undefined,Undefined,undefined,intel,intel core i7 7th generation,2.50,GHz,notebook/laptop,2256.0,1504.0,windows,ssd,256.0,gb,256.0,gb,13.5,8.0,gb
122,hp,390.0,$,silver,"Bluetooth,  Built-in Webcam,  Built-in Microphone",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5 11th generation,2.40,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,15.6,8.0,gb
136,hp,140.0,$,silver,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Undefined,Undefined,undefined,intel,intel pentium,1.10,GHz,notebook/laptop,1366.0,768.0,chrome,ssd,64.0,gb,64.0,gb,14,4.0,gb
292,hp,699.0,$,silver,"Numeric Keypad,  Audio by B&O,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,nvidia,12th gen intel core i5-12450h,4.40,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,2.0,tb,2.0,tb,15.6,64.0,gb
486,lenovo,192.0,$,gray,Built-in Webcam,Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",100% functional! in great condition! a few small scratches/scuffs/dings on casing.,intel,intel core i3 12th generation,1.20,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,8.0,gb,256.0,gb,15.6,8.0,gb
489,dell,370.0,$,black,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested one year warranty,intel,intel core i7 8th generation,1.90,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,1.0,tb,1.0,tb,14,32.0,gb
491,lenovo,444.5,$,blue,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Fingerprint Reader",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.","this laptop has been ""certified factory refurbished"" by lenovo direct (not by 3rd party) to brand new condition and is backed by a hp factory warranty. looks just ""like new"" sealed in a lenovo box. lenovo warranty card. all original accessories included! you wont see a difference. save big!!!",intel,intel core i5 12th generation,4.40,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.6,12.0,gb
493,acer,349.5,$,silver,Touchscreen,Undefined,Undefined,undefined,intel,undefined,1.80,GHz,notebook/laptop,1920.0,1200.0,windows,ssd,128.0,gb,128.0,gb,14,8.0,gb
505,hp,444.2,$,other,Touchscreen,Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.","this laptop has been ""certified factory refurbished"" by hp direct (not by 3rd party) to brand new condition and is backed by a hp factory warranty. looks just ""like new"" sealed in a hp box. hp warranty card. all original accessories included! you wont see a difference. save big!!!",intel,intel pentium,3.50,GHz,notebook/laptop,1600.0,900.0,windows,ssd,256.0,gb,256.0,gb,17.3,12.0,gb
510,other,300.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel atom quad-core,1.6,GHz,other,1280.0,800.0,windows,emmc,128.0,gb,128.0,gb,8.1,8.0,gb
512,microsoft,259.8,$,silver,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",extremely clean. no scratches. see photos & description,intel,intel core i5 10th generation,1.50,GHz,notebook/laptop,2256.0,1504.0,windows,ssd,256.0,gb,256.0,gb,13.5,8.0,gb
513,hp,172.0,$,silver,"Bluetooth, Built-in Webcam, Wi-Fi, Spill-Resistant Keyboard, Backlit Keyboard, Touch ID",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","excellent working condition, everything works, pretty good cosmetic condition, unit has 1 dent on the right side, actual item pictures attached.",intel,intel core i7 8th generation,1.90,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,14,8.0,gb
521,asus,289.5,$,black,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Convertible 2-in-1 Laptop/Tablet",Undefined,Undefined,undefined,intel,intel core i3 11th generation,3.00,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,14,8.0,gb
525,dell,400.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wifi 802.11AX,  USB 3.2",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i5 13th generation,1.70,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.6,16.0,gb
528,lenovo,400.0,$,black,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested one year warranty,intel,i7-8550u,1.80,GHz,other,1920.0,1080.0,windows,ssd,1.0,tb,1.0,tb,14,24.0,gb
571,dell,279.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i7 6th generation,2.60,GHz,other,2560.0,1440.0,windows,ssd,1.0,tb,1.0,tb,14,16.0,gb
796,dell,180.0,$,black,Rugged,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","good working and in cosmetic shape. touch screen display, backlight keyboard. comes with a compatible dell charger",intel,intel core i5 6th generation,2.40,GHz,other,1920.0,1280.0,windows,ssd,512.0,gb,512.0,gb,14,8.0,gb
799,hp,45.0,$,multicolor,Wi-Fi,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",fully tested and working. expect slight signs of normal use and wear. see pictures.,other,intel celeron,2.16,GHz,notebook/laptop,1366.0,768.0,chrome,ssd,16.0,gb,16.0,gb,14,16.0,gb
802,dell,599.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5-1135g7,2.40,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,1.0,tb,1.0,tb,15.6,16.0,gb
808,hp,525.0,$,silver,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,nvidia,intel core i7 8th generation,2.60,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,17.3,64.0,gb
809,lenovo,44.0,$,gray,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",excellent cosmetics,other,intel celeron,1.10,GHz,other,1366.0,768.0,chrome,ssd,32.0,gb,32.0,gb,11.6,4.0,gb
812,other,370.0,$,black,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Undefined,Undefined,undefined,intel,intel core i5 12th generation,2.40,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,14.1,8.0,gb
817,lenovo,51.0,$,black,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",fully tested and fully working . includes charger. ships in bulk packaging. touch screen unit. may show some light signs of use.,other,intel celeron,1.60,GHz,notebook/laptop,1366.0,768.0,chrome,ssd,16.0,gb,16.0,gb,11.6,4.0,gb
819,hp,1149.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,nvidia,intel core i7 13th generation,2.40,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,1.0,tb,1.0,tb,16.1,16.0,gb
